Year,Species,Num
2000,Aedes triseriatus,1
2000,Culex pipiens,5
2000,Culex restuans,5
2000,Culex salinarius,2
2000,Culex sp.,2
2000,Culiseta melanura,3
2001,Aedes c. canadensis,3
2001,Aedes cantator,1
2001,Aedes cinereus,1
2001,Aedes j. japonicus,1
2001,Aedes sollicitans,1
2001,Aedes taeniorhynchus,1
2001,Aedes triseriatus,1
2001,Aedes vexans,1
2001,Anopheles punctipennis,2
2001,Anopheles quadrimaculatus s.l.,2
2001,Coquillettidia perturbans,2
2001,Culex pipiens,20
2001,Culex pipiens-restuans (Mixed),2
2001,Culex restuans,6
2001,Culex salinarius,6
2001,Culex sp.,12
2001,Culiseta melanura,8
2001,Culiseta sp.,1
2001,Orthopodomyia signifera,1
2001,Uranotaenia sapphirina,1
2002,Aedes j. japonicus,2
2002,Aedes sollicitans,1
2002,Aedes triseriatus,1
2002,Aedes trivittatus,1
2002,Aedes vexans,6
2002,Anopheles punctipennis,1
2002,Anopheles walkeri,1
2002,Coquillettidia perturbans,1
2002,Culex pipiens,79
2002,Culex pipiens-restuans (Mixed),30
2002,Culex restuans,18
2002,Culex salinarius,3
2002,Culex sp.,41
2002,Culiseta melanura,2
2002,Uranotaenia sapphirina,1
2003,Aedes c. canadensis,2
2003,Aedes cinereus,3
2003,Aedes sticticus,2
2003,Aedes trivittatus,1
2003,Aedes vexans,4
2003,Anopheles walkeri,1
2003,Coquillettidia perturbans,1
2003,Culex pipiens,37
2003,Culex pipiens-restuans (Mixed),4
2003,Culex restuans,13
2003,Culex salinarius,14
2003,Culex sp.,27
2003,Culiseta impatiens,1
2003,Culiseta melanura,37
2003,Culiseta morsitans,8
2003,Psorophora ferox,2
2003,Uranotaenia sapphirina,1
2004,Aedes c. canadensis,5
2004,Aedes dupreei,1
2004,Aedes triseriatus,1
2004,Aedes trivittatus,1
2004,Aedes vexans,5
2004,Anopheles quadrimaculatus s.l.,1
2004,Culex pipiens,38
2004,Culex pipiens-restuans (Mixed),14
2004,Culex restuans,10
2004,Culex salinarius,5
2004,Culex sp.,2
2004,Culex territans,3
2004,Culiseta impatiens,2
2004,Culiseta melanura,38
2004,Culiseta morsitans,8
2005,Aedes cinereus,1
2005,Aedes j. japonicus,3
2005,Aedes triseriatus,2
2005,Aedes vexans,2
2005,Coquillettidia perturbans,3
2005,Culex pipiens,43
2005,Culex pipiens-restuans (Mixed),68
2005,Culex restuans,3
2005,Culex salinarius,7
2005,Culex sp.,5
2005,Culiseta melanura,51
2005,Culiseta morsitans,10
2006,Aedes c. canadensis,3
2006,Aedes triseriatus,2
2006,Aedes vexans,6
2006,Coquillettidia perturbans,13
2006,Culex pipiens,192
2006,Culex pipiens-restuans (Mixed),28
2006,Culex restuans,19
2006,Culex salinarius,16
2006,Culex sp.,5
2006,Culiseta melanura,182
2006,Culiseta minnesotae,1
2006,Culiseta morsitans,7
2006,Psorophora ferox,1
2007,Aedes c. canadensis,2
2007,Aedes cinereus,1
2007,Aedes j. japonicus,2
2007,Aedes taeniorhynchus,1
2007,Aedes vexans,1
2007,Coquillettidia perturbans,2
2007,Culex pipiens,69
2007,Culex pipiens-restuans (Mixed),63
2007,Culex restuans,1
2007,Culex salinarius,1
2007,Culiseta melanura,37
2007,Culiseta morsitans,1
2008,Aedes c. canadensis,3
2008,Aedes cinereus,1
2008,Aedes j. japonicus,2
2008,Aedes stimulans,1
2008,Aedes triseriatus,1
2008,Aedes trivittatus,1
2008,Aedes vexans,1
2008,Coquillettidia perturbans,1
2008,Culex pipiens,132
2008,Culex pipiens-restuans (Mixed),129
2008,Culex restuans,48
2008,Culex salinarius,11
2008,Culex territans,1
2008,Culiseta inornata,1
2008,Culiseta melanura,25
2008,Culiseta morsitans,3
2009,Aedes c. canadensis,21
2009,Aedes cantator,1
2009,Aedes cinereus,6
2009,Aedes stimulans,1
2009,Aedes triseriatus,1
2009,Aedes trivittatus,2
2009,Aedes vexans,5
2009,Anopheles punctipennis,4
2009,Anopheles quadrimaculatus s.l.,2
2009,Anopheles walkeri,2
2009,Coquillettidia perturbans,10
2009,Culex pipiens,34
2009,Culex pipiens-restuans (Mixed),16
2009,Culex restuans,4
2009,Culex salinarius,6
2009,Culex sp.,4
2009,Culiseta melanura,177
2009,Culiseta morsitans,25
2009,Psorophora ferox,1
2009,Uranotaenia sapphirina,4
2010,Aedes c. canadensis,1
2010,Aedes j. japonicus,4
2010,Aedes taeniorhynchus,1
2010,Aedes triseriatus,1
2010,Aedes vexans,3
2010,Coquillettidia perturbans,22
2010,Culex pipiens,185
2010,Culex pipiens-restuans (Mixed),92
2010,Culex restuans,25
2010,Culex salinarius,15
2010,Culex sp.,12
2010,Culiseta melanura,59
2010,Culiseta morsitans,3
2010,Uranotaenia sapphirina,1
2011,Aedes c. canadensis,6
2011,Aedes j. japonicus,1
2011,Aedes vexans,3
2011,Coquillettidia perturbans,11
2011,Culex pipiens,117
2011,Culex pipiens-restuans (Mixed),232
2011,Culex restuans,28
2011,Culex salinarius,14
2011,Culex sp.,27
2011,Culiseta melanura,95
2011,Culiseta morsitans,1
2011,Culiseta sp.,1
2012,Aedes c. canadensis,16
2012,Aedes cantator,1
2012,Aedes cinereus,1
2012,Aedes j. japonicus,1
2012,Aedes triseriatus,1
2012,Aedes vexans,11
2012,Coquillettidia perturbans,75
2012,Culex pipiens,201
2012,Culex pipiens-restuans (Mixed),245
2012,Culex restuans,20
2012,Culex salinarius,26
2012,Culex sp.,71
2012,Culex territans,3
2012,Culiseta melanura,223
2012,Culiseta morsitans,1
2013,Aedes c. canadensis,6
2013,Aedes sollicitans,1
2013,Aedes taeniorhynchus,2
2013,Aedes trivittatus,1
2013,Aedes vexans,10
2013,Coquillettidia perturbans,30
2013,Culex pipiens,68
2013,Culex pipiens-restuans (Mixed),225
2013,Culex restuans,35
2013,Culex salinarius,11
2013,Culex sp.,19
2013,Culiseta melanura,252
2013,Culiseta morsitans,8
2013,Culiseta sp.,4
2013,Psorophora ferox,1
2014,Aedes c. canadensis,5
2014,Aedes cinereus,1
2014,Aedes j. japonicus,1
2014,Aedes triseriatus,1
2014,Aedes trivittatus,1
2014,Aedes vexans,5
2014,Coquillettidia perturbans,10
2014,Culex pipiens,53
2014,Culex pipiens-restuans (Mixed),54
2014,Culex restuans,10
2014,Culex salinarius,6
2014,Culex sp.,5
2014,Culiseta melanura,57
2014,Culiseta morsitans,4
2014,Psorophora ferox,2
2014,Uranotaenia sapphirina,1
2015,Aedes c. canadensis,1
2015,Aedes j. japonicus,6
2015,Aedes taeniorhynchus,1
2015,Aedes triseriatus,1
2015,Aedes trivittatus,3
2015,Aedes vexans,3
2015,Anopheles punctipennis,1
2015,Coquillettidia perturbans,1
2015,Culex pipiens,113
2015,Culex pipiens-restuans (Mixed),226
2015,Culex restuans,17
2015,Culex salinarius,28
2015,Culex sp.,4
2015,Culiseta melanura,17
2015,Culiseta morsitans,2
2016,Aedes albopictus,1
2016,Aedes j. japonicus,1
2016,Anopheles punctipennis,1
2016,Anopheles quadrimaculatus s.l.,1
2016,Anopheles walkeri,1
2016,Culex pipiens,109
2016,Culex pipiens-restuans (Mixed),19
2016,Culex restuans,7
2016,Culex salinarius,1
2016,Culex sp.,2
2016,Culiseta melanura,2
2016,Culiseta morsitans,1
2017,Aedes c. canadensis,4
2017,Aedes cinereus,2
2017,Aedes j. japonicus,1
2017,Aedes taeniorhynchus,1
2017,Aedes vexans,1
2017,Anopheles crucians complex,1
2017,Anopheles punctipennis,4
2017,Anopheles quadrimaculatus s.l.,1
2017,Coquillettidia perturbans,12
2017,Culex pipiens,90
2017,Culex pipiens-restuans (Mixed),294
2017,Culex restuans,23
2017,Culex salinarius,23
2017,Culex sp.,26
2017,Culex territans,2
2017,Culiseta melanura,28
2017,Culiseta morsitans,4
2017,Other Species / Unknown,7
2017,Psorophora ferox,1
2018,Aedes albopictus,1
2018,Aedes c. canadensis,11
2018,Aedes cantator,1
2018,Aedes cinereus,10
2018,Aedes j. japonicus,23
2018,Aedes provocans,1
2018,Aedes taeniorhynchus,1
2018,Aedes triseriatus,1
2018,Aedes trivittatus,2
2018,Aedes vexans,4
2018,Anopheles punctipennis,2
2018,Anopheles quadrimaculatus s.l.,1
2018,Anopheles quadrimaculatus s.s.,2
2018,Coquillettidia perturbans,20
2018,Culex pipiens,255
2018,Culex pipiens-restuans (Mixed),473
2018,Culex restuans,71
2018,Culex salinarius,38
2018,Culex sp.,163
2018,Culiseta melanura,104
2018,Culiseta morsitans,7
2018,Psorophora ferox,2
2019,Aedes c. canadensis,33
2019,Aedes cinereus,2
2019,Aedes j. japonicus,2
2019,Aedes vexans,14
2019,Anopheles crucians complex,1
2019,Anopheles punctipennis,5
2019,Anopheles quadrimaculatus s.l.,1
2019,Anopheles walkeri,1
2019,Coquillettidia perturbans,162
2019,Culex pipiens,53
2019,Culex pipiens-restuans (Mixed),51
2019,Culex restuans,12
2019,Culex salinarius,62
2019,Culex sp.,17
2019,Culiseta melanura,327
2019,Culiseta morsitans,2
2019,Psorophora ferox,4
2019,Uranotaenia sapphirina,7
2020,Aedes j. japonicus,1
2020,Aedes vexans,1
2020,Coquillettidia perturbans,46
2020,Culex pipiens,128
2020,Culex pipiens-restuans (Mixed),84
2020,Culex restuans,17
2020,Culex salinarius,8
2020,Culiseta melanura,26
2021,Aedes c. canadensis,2
2021,Aedes cinereus,6
2021,Aedes j. japonicus,1
2021,Aedes trivittatus,2
2021,Aedes vexans,6
2021,Coquillettidia perturbans,2
2021,Culex pipiens,125
2021,Culex pipiens-restuans (Mixed),105
2021,Culex restuans,58
2021,Culex salinarius,22
2021,Culex sp.,4
2021,Culiseta melanura,18
2021,Psorophora ferox,9
2021,Uranotaenia sapphirina,1
